id;name;uic;lat;lon;country
28292;Turmantas;turmantas;55.699467;26.465554;LT
28293;Vilnius;vilnius;54.670217;25.284434;LT
32364;Kaunas;kaunas;54.9;23.9;LT
32365;Marijampolė;marijampole;54.56667;23.35;LT
32366;Panevėžys;panevezys;55.73333;24.35;LT
35109;Vilnius Airport;vilnius-airport;54.638037;25.286558;LT
35231;Klaipeda;klaipeda;55.6936879;21.153788149999997;LT
35265;Kryzkalnis;kryzkalnis;55.464575;22.68453;LT
35272;Plunge;plunge;55.904481;21.832384;LT
35273;Telsiai;telsiai;56.0042877;22.2449187;LT
35279;Šiauliai;siauliai;55.92777;23.30767;LT
35360;Kaunas Airport;kaunas-airport;54.9670001;24.0713865;LT
35824;Kėdainiai;kedainiai;55.27728;23.95755;LT
35939;Palanga;palanga;55.91807;21.06781;LT
35943;Druskininkai;druskininkai;54.0122484;23.9755377;LT
35974;Alytus;alytus;54.413416;24.0088087;LT
37678;Gargždai;gargzdai;55.71251;21.38627;LT
37679;Kuršėnai;kursenai;56.00046;22.9488;LT
37680;Elektrėnai;elektrenai;54.788405;24.658485;LT
37681;Visaginas;visaginas;55.59821;26.43496;LT
37682;Naujoji Akmenė;naujoji-akmene;56.31796;22.88542;LT
37683;Anykščiai;anyksciai;55.52649;25.09961;LT
37684;Biržai;birzai;56.20626;24.76018;LT
37685;Ignalina;ignalina;55.33884;26.16111;LT
37686;Jonava;jonava;55.07561;24.28069;LT
37687;Joniškis;joniskis;56.22907;23.60275;LT
37688;Jurbarkas;jurbarkas;55.0773;22.76055;LT
37689;Kelmė;kelme;55.6345;22.92982;LT
37690;Kupiškis;kupiskis;55.83076;24.98671;LT
37691;Lazdijai;lazdijai;54.23143;23.52579;LT
37692;Mažeikiai;mazeikiai;56.31355;22.34028;LT
37693;Molėtai;moletai;55.23423;25.42665;LT
37694;Pakruojis;pakruojis;55.97645;23.85235;LT
37695;Pasvalys;pasvalys;56.05969;24.40585;LT
37696;Prienai;prienai;54.632545;23.94787;LT
37697;Radviliškis;radviliskis;55.81264;23.54625;LT
37698;Raseiniai;raseiniai;55.37885;23.11569;LT
37699;Rokiškis;rokiskis;55.94741;25.58887;LT
37700;Skuodas;skuodas;56.27044;21.53933;LT
37701;Sakiai;sakiai;54.95443;23.04816;LT
37702;Silale;silale;55.48752;22.19498;LT
37703;Silute;silute;55.34588;21.48392;LT
37704;Tauragė;taurage;55.25573;22.29237;LT
37705;Trakai;trakai;54.63295;24.93493;LT
37706;Ukmerge;ukmerge;55.25913;24.79175;LT
37707;Utena;utena;55.49846;25.59612;LT
37708;Varėna;varena;54.2103;24.57689;LT
37709;Vilkaviškis;vilkaviskis;54.648;23.0302;LT
37710;Zarasai;zarasai;55.73488;26.25002;LT
37711;Nida;nida;55.30414;21.00725;LT
38333;Babtai;babtai;55.09703;23.80129;LT
38334;Krosna;krosna;54.37964;23.53301;LT
38335;Laukuva;laukuva;55.6223;22.23645;LT
38336;Balbieriskis;balbieriskis;54.52488;23.88549;LT
38337;Birzine;birzine;55.43426;25.25616;LT
38338;Tytuvenai;tytuvenai;55.59841;23.19714;LT
38359;Ariogala;ariogala;55.26744;23.4717;LT
38360;Rietavas;rietavas;55.71935;21.93065;LT
38361;Seirijai;seirijai;54.23331;23.81037;LT
38362;Aukstadvaris;aukstadvaris;54.57916;24.5276;LT
38363;Cinkiskiai;cinkiskiai;55.13705;23.72696;LT
38364;Leipalingis;leipalingis;54.08809;23.86033;LT
38365;Jieznas;jieznas;54.60214;24.16291;LT
38366;Deguciai;deguciai;55.65925;26.05325;LT
38367;Perloja;perloja;54.21643;24.41081;LT
38368;Merkine;merkine;54.16881;24.208555;LT
38369;Stakliskes;stakliskes;54.58307;24.3151;LT
38370;Senoji Varena;senoji-varena;54.249894999999995;24.548405000000002;LT
38371;Zelva;zelva;55.22108;25.09664;LT
38380;Verbyliskes;verbyliskes;54.58054;24.170395;LT
38381;Sventupe;sventupe;55.30621;24.8637;LT
38382;Babriskes;babriskes;54.33124;24.49577;LT
38386;Siluva;siluva;55.53216;23.22628;LT
38387;Veisiejai;veisiejai;54.10119;23.69567;LT
38574;Kapciamiestis;kapciamiestis;54.00619;23.6558;LT
38602;Gelezunai;gelezunai;54.58014;24.07932;LT
38671;Karcemos;karcemos;55.78649;23.590854999999998;LT
38672;Islauzas;islauzas;54.7412;23.92974;LT
38682;Silagalys;silagalys;55.67337;24.36669;LT
38683;Garliava;garliava;54.819625;23.87341;LT
38684;Skirsnemunė;skirsnemune;55.09068;22.90342;LT
38685;Verstaminai;verstaminai;54.29581;23.54393;LT
38686;Pikelionys;pikelionys;54.58191;24.22695;LT
